Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22029858,"ワンパンマン 6 [Wanpanman 6] (Onepunch-Man, #6)",ONE,"ONE, ONE","Yusuke Murata, 村田雄介","=""4088801288""","=""9784088801285""",0,4.48,Shueisha,Paperback,208,2014,2014,,2020/03/12,,,read,,,,1,,,0,,,,,
19121592,"ワンパンマン 5 [Wanpanman 5] (Onepunch-Man, #5)",ONE,"ONE, ONE","Yusuke Murata, 村田雄介","=""4088800834""","=""9784088800837""",0,4.51,Shueisha,Paperback,208,2013,2013,,2020/03/12,,,read,,,,1,,,0,,,,,
36373688,"Revenant Gun (The Machineries of Empire, #3)",Yoon Ha Lee,"Lee, Yoon Ha",,"=""1781086079""","=""9781781086070""",3,4.14,Solaris,Paperback,427,2018,2018,2020/03/10,2020/03/10,,,read,"Similarly meh to the sequel. A satisfactory ending to the trilogy, but both this and the previous book felt very ""deus ex machina"" in the plotting. The calendrical system was cleverly used in the first book, but didn't really add much to these last two.",,,1,,,0,,,,,
32927239,"Raven Stratagem (The Machineries of Empire, #2)",Yoon Ha Lee,"Lee, Yoon Ha",,"=""1781085374""","=""9781781085370""",3,4.13,Solaris,Paperback,355,2017,2017,2020/03/08,2020/03/08,"2020, ebook, kindle, spl","2020 (#8), ebook (#120), kindle (#89), spl (#62)",read,"Didn’t enjoy this as much as the first book. The first book asked for a significant suspension of belief for the calendrical system, but while the sequel dials that back, I wound up needing to suspend even more for the plot. Overall, kind of meh, but I’ll probably finish off the trilogy nonetheless since it’s pretty nice reading.",,,1,,,0,,,,,
26118426,"Ninefox Gambit (The Machineries of Empire, #1)",Yoon Ha Lee,"Lee, Yoon Ha",,"=""""","=""""",4,3.83,Solaris Books,Paperback,384,2016,2016,2020/02/29,2020/02/29,"2020, spl, ya-sjw-book-club, tradeback","2020 (#7), spl (#61), ya-sjw-book-club (#22), tradeback (#14)",read,"Loved the bizarre world with calendrical technology. Appreciated that it was left very unexplained, but I could've used just a *bit* more explanation of the world. I also didn't entirely buy Jedao's inexplicable military greatness, but definitely good enough for a romping tale.<br/><br/>You do have to just accept the ""calendrical"" universe at face value, but I had no problem doing that.",,,1,,,0,,,,,
18273751,"ワンパンマン 4 [Wanpanman 4] (Onepunch-Man, #4)",ONE,"ONE, ONE","Yusuke Murata, 村田雄介","=""4088708717""","=""9784088708713""",0,4.49,Shueisha,Paperback,208,2013,2013,,2020/02/29,,,read,,,,1,,,0,,,,,
17694058,"ワンパンマン 3 [Wanpanman 3] (Onepunch-Man, #3)",ONE,"ONE, ONE","Yusuke Murata, 村田雄介","=""4088707249""","=""9784088707242""",0,4.43,Shueisha ,Paperback,208,2013,2013,,2020/02/29,,,read,,,,1,,,0,,,,,
17694056,"ワンパンマン 2 [Wanpanman 2] (Onepunch-Man, #2)",ONE,"ONE, ONE","Yusuke Murata, 村田雄介","=""4088707028""","=""9784088707020""",0,4.47,集英社 (Shueisha),Paperback,200,2012,2012,,2020/02/26,,,read,,,,1,,,0,,,,,
51732899,Once & Future #1,Kieron Gillen,"Gillen, Kieron","Dan Mora, Tamra Bonvillain","=""""","=""""",0,4.27,BOOM! Studios,Kindle Edition,33,2019,2019,,2020/01/06,"ebook, hoopla, spl","ebook (#115), hoopla (#19), spl (#54)",read,,,,1,,,0,,,,,
25783832,"One-Punch Man, Vol. 1",ONE,"ONE, ONE","Yusuke Murata, John Werry","=""1421585642""","=""9781421585642""",0,4.50,VIZ Media LLC,Paperback,199,2015,2012,,2020/02/24,,,read,,,,1,,,0,,,,,
